000000.bmp,0.00010921677,2540.8237,31772.982,1146.7098,0.0008417244,12.943316,13.974389,1
000001.bmp,0.00010169856,2561.3,31910.271,1150.2207,0.0008942377,13.228636,13.9730835,1
000002.bmp,0.00010148555,2563.3547,34841.82,1150.5708,0.00090613286,13.257334,13.976648,1
000003.bmp,9.660417e-05,2555.5493,33849.555,1149.2388,0.0008878892,13.14838,13.975465,1
000004.bmp,0.00010252051,2559.081,31910.271,1149.8422,0.00088690454,13.197656,13.973415,1
000005.bmp,9.9283556e-05,2535.2637,35280.938,1145.7496,0.00083040074,12.866062,13.974807,1
000006.bmp,9.837738e-05,2525.3389,37833.39,1144.0283,0.00080790685,12.728398,13.978698,1
000007.bmp,0.0001020947,2512.4502,37069.434,1141.7787,0.00076869293,12.550093,13.978364,1
000008.bmp,0.000107952124,2535.4148,27906.928,1145.7758,0.0008230584,12.868162,13.965744,1
000009.bmp,0.00011610808,2551.0933,27591.9,1148.4756,0.00086828397,13.086258,13.964027,1
000010.bmp,9.551131e-05,2498.1995,35395.42,1139.2725,0.0007255325,12.353577,13.975672,1
000011.bmp,0.000106362786,2513.1377,31528.898,1141.8992,0.0007645228,12.559591,13.970693,1
000012.bmp,0.00010329821,2504.9287,32139.07,1140.4584,0.00074844074,12.446287,13.971866,1
000013.bmp,0.00010255619,2504.2036,32139.07,1140.3308,0.0007456903,12.436291,13.970165,1
000014.bmp,0.00010163118,2500.1243,31125.678,1139.6122,0.00073880464,12.380079,13.971535,1
000015.bmp,9.9225595e-05,2486.916,32302.488,1137.2739,0.00070447667,12.198468,13.970764,1
000016.bmp,0.00010518501,2488.6785,31034.354,1137.5869,0.00069925946,12.222667,13.970919,1
000017.bmp,0.00011262486,2485.11,30124.988,1136.9529,0.00069388136,12.173683,13.968122,1
000018.bmp,0.00010977509,2482.5283,32596.617,1136.4934,0.0006869257,12.138271,13.972472,1
000019.bmp,0.00011047332,2487.5645,29007.984,1137.3892,0.00070900144,12.20737,13.965638,1
000020.bmp,0.00010140154,2545.0837,30378.594,1147.4436,0.00085349503,13.002573,13.972641,1
000021.bmp,9.935218e-05,2547.3008,32939.73,1147.8247,0.000860444,13.033433,13.973743,1
000022.bmp,0.000100979305,2564.0532,36320.06,1150.6897,0.00090721314,13.267093,13.976402,1
000023.bmp,9.97894e-05,2558.439,33491.62,1149.7325,0.0008918308,13.188694,13.974833,1
000024.bmp,0.00010124849,2562.2456,33133.65,1150.3818,0.00090473524,13.241841,13.974068,1
000025.bmp,9.645441e-05,2533.5273,33968.86,1145.4492,0.0008202276,12.841955,13.973618,1
000026.bmp,9.632676e-05,2524.1963,37833.39,1143.8296,0.00080370426,12.712572,13.978497,1
000027.bmp,0.00010116421,2513.5432,37069.434,1141.9701,0.0007750628,12.565193,13.97886,1
000028.bmp,0.000107911386,2535.24,28770.453,1145.7456,0.0008184054,12.865733,13.965484,1
000029.bmp,0.000109370405,2566.3293,30124.988,1151.077,0.00091100996,13.2989025,13.9685335,1
000030.bmp,9.410484e-05,2496.9172,35395.42,1139.046,0.00072232523,12.33593,13.974548,1
000031.bmp,0.00010849842,2512.2385,30537.084,1141.7416,0.0007611457,12.54717,13.9687805,1
000032.bmp,0.00010083833,2501.6838,32139.07,1139.8871,0.0007411366,12.401564,13.972305,1
000033.bmp,0.00010517982,2505.5745,32139.07,1140.572,0.0007480674,12.455193,13.970496,1
000034.bmp,0.00010447054,2497.611,31419.926,1139.1686,0.0007295646,12.345479,13.971299,1
000035.bmp,0.000103095226,2494.1172,30466.04,1138.5509,0.00071769924,12.29741,13.969924,1
000036.bmp,0.00010076632,2486.3774,33663.965,1137.1782,0.0006979627,12.191073,13.971988,1
000037.bmp,0.00011273982,2481.2412,31602.547,1136.264,0.0006860905,12.120625,13.969906,1
000038.bmp,9.6370306e-05,2483.988,33663.965,1136.7533,0.0006941254,12.158291,13.972856,1
000039.bmp,0.00010997993,2490.0679,28741.947,1137.8335,0.00071321527,12.241751,13.966445,1
000040.bmp,9.933155e-05,2550.1978,32596.617,1148.322,0.00086920237,13.073782,13.973181,1
000041.bmp,9.98426e-05,2534.9963,35280.938,1145.7035,0.0008302526,12.862351,13.976093,1
000042.bmp,0.0001026093,2565.5305,34467.72,1150.9412,0.0009065724,13.287737,13.974912,1
000043.bmp,9.722878e-05,2558.591,33491.62,1149.7585,0.0008960383,13.190819,13.97623,1
000044.bmp,9.791551e-05,2561.9219,33133.65,1150.3267,0.0008972895,13.23732,13.976266,1
000045.bmp,9.9026656e-05,2522.7615,34654.773,1143.5797,0.0007942219,12.6927,13.974141,1
000046.bmp,9.5209296e-05,2521.7214,37833.39,1143.3986,0.00079844217,12.678301,13.978707,1
000047.bmp,0.00010324953,2514.9592,38580.973,1142.2179,0.00077636173,12.584761,13.978374,1
000048.bmp,0.000109876135,2535.7246,28770.453,1145.8293,0.00082152645,12.872462,13.9675455,1
000049.bmp,0.00010488931,2572.9634,29795.262,1152.2029,0.00092140556,13.391701,13.968778,1
000050.bmp,9.7580516e-05,2497.2588,35395.42,1139.1063,0.0007220113,12.340629,13.973922,1
000051.bmp,0.00010814622,2510.7627,28475.879,1141.483,0.0007598259,12.526789,13.967304,1
000052.bmp,0.0001012525,2500.9788,31125.678,1139.7628,0.0007384407,12.391851,13.972309,1
000053.bmp,0.000101278965,2508.8118,31834.002,1141.1407,0.00075302756,12.499854,13.97088,1
000054.bmp,0.00010536213,2501.4287,29025.719,1139.8422,0.00074183755,12.398047,13.969443,1
000055.bmp,0.00010483337,2487.1892,31034.354,1137.3225,0.000702916,12.202219,13.970502,1
000056.bmp,0.000102122714,2485.0554,32596.617,1136.9431,0.00069300196,12.172934,13.970285,1
000057.bmp,0.00010655457,2478.2988,32890.72,1135.7391,0.00068171584,12.080306,13.971884,1
000058.bmp,0.000100414865,2487.273,32302.488,1137.3373,0.0007038063,12.203366,13.97151,1
000059.bmp,0.00011439294,2494.2363,29575.418,1138.572,0.00072323764,12.299049,13.967377,1
000060.bmp,9.8963355e-05,2548.4565,32939.73,1148.0232,0.0008588695,13.049529,13.973068,1
